What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Age,Gender,Irish County,Device OS
No,Yes,Yes,No,No,No,1 ,2-4 hours ,Great it gives people who don’t have connections to get their brand out in the public eye,No,,,,,,,,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Never ,In the last 18 months ,Their Instagram page,5,Trust Somewhat ,No ,Tagline,36 53,Female,Dublin,Web
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,"I'm happy to follow brands I'm interested in on social media, but i find unsolicited ads annoying. ",Yes,Yes,No,Yes,No,No,Yes,No,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last month ,Their website,1,Distrust Somewhat ,No ,Neither,36 53,Female,Connacht,Web
Yes,Yes,No,No,No,No,1 ,1-2 hours ,I think this is a good way for brand to get involved with their customers and to interact ,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Trust Completely ,Trust Completely ,Distrust Somewhat,Neither Trust or Distrust ,Trust Completely ,Trust Completely ,Distrust Somewhat,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Never ,In the past week ,A department store,9,Trust Somewhat ,No ,Tagline,36 53,Female,Munster,Android
Yes,No,No,Yes,No,No,2,Less than 1 hour ,too much advertising,Yes,Yes,No,No,Yes,No,No,No,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Every few days ,In the past week ,Their own retail shop,3,Neither Trust or Distrust ,Yes ,Hashtag ,36 53,Female,Dublin,I OS
No,Yes,Yes,No,No,No,1 ,1-2 hours ,"I skip by ads to be honest. I actively don’t support brands that promote their brand via a lot of influencers e.g. spotlight. I do like to follow brands own pages, and would like to see them promote products in their own page without using ‘influencers’ ",Yes,No,Yes,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Never ,In the last 18 months ,Their Instagram page,6,Trust Somewhat ,Yes ,Tagline,36 53,Female,Munster,I OS
No,Yes,No,No,No,No,1 ,2-4 hours ,Annoying !! No interest in them . Constantly trying to push a sale ! ,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Never ,In the last 18 months ,Their own retail shop,3,Neither Trust or Distrust ,Yes ,Tagline,36 53,Female,Dublin,I OS
Yes,Yes,Yes,No,No,No,2,2-4 hours ,It's certainly a good way to get your information out there about your company. And also good value to impact larger audience. But I do think they should be aware of audience and adhere to same rules,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Every few weeks ,In the past week ,Their own retail shop,6,Neither Trust or Distrust ,No ,Neither,36 53,Female,Ulster ROI Only,Android
Yes,No,No,Yes,No,No,1 ,2-4 hours ,Very good ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few months ,In the last 6 months ,Their website,1,Trust Somewhat ,No ,Hashtag ,36 53,Female,Connacht,Web
Yes,Yes,No,No,No,No,2,1-2 hours ,I find it’s great for information ,Yes,Yes,No,No,No,No,No,No,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few days ,In the last 6 months ,A department store,8,Trust Somewhat ,Yes ,Tagline,36 53,Female,Connacht,I OS
No,No,No,No,Yes,No,1 ,Less than 1 hour ,I don't take much notice as I use linkedin for professional reasons.,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Never ,In the last 6 months ,A department store,10,Trust Somewhat ,No ,Tagline,36 53,Female,Dublin,Web
Yes,Yes,Yes,Yes,No,No,1 ,4-6 hours ,Need to be accountable ,Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Every few months ,In the last 6 months ,Their website,3,Distrust Somewhat ,Yes ,Tagline,36 53,Female,Dublin,Web
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,I love it because you get to see what’s new and for sale,No,,,,,,,,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few weeks ,In the last 6 months ,Their website,7,Neither Trust or Distrust ,Yes ,Tagline,36 53,Female,Munster,Web
Yes,Yes,No,No,No,No,1 ,4-6 hours ,I don't mind if its something I'm.interesred in ,Yes,Yes,No,No,No,No,No,No,Trust Completely ,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Every few days ,In the past week ,Their own retail shop,9,Trust Somewhat ,Yes ,Tagline,36 53,Female,Dublin,Android
Yes,Yes,No,No,No,No,1 ,2-4 hours ,"It a great way to advertise,  to keep up to date on the news and what's happening around d the world",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Never ,In the last month ,Their Instagram page,7,Trust Somewhat ,Yes ,Hashtag ,36 53,Female,Leinster,Android
Yes,Yes,Yes,No,Yes,No,1 ,4-6 hours ,Too many ads,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Never ,In the past week ,A department store,1,Trust Somewhat ,Yes ,Tagline,36 53,Female,Leinster,I OS
Yes,Yes,No,No,No,No,1 ,1-2 hours ,Some are misleading ,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Never ,In the last 18 months ,Another of their social media accounts,10,Neither Trust or Distrust ,No ,Neither,36 53,Female,Leinster,Android
Yes,Yes,No,No,No,No,1 ,2-4 hours ,"Some positives and negatives , great for new products but also few pressure to buy especially if discounts involved ",Yes,Yes,No,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 6 months ,Their Instagram page,8,Trust Somewhat ,Yes ,Tagline,36 53,Female,Leinster,I OS
