What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Age,Irish County,Device OS
Yes,Yes,Yes,Yes,Yes,No,More than 2 ,Less than 1 hour ,annoying ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Every few months ,In the past week ,Their website,5,Distrust Somewhat ,No ,Neither,Male,23 35,Leinster,Web
No,No,Yes,No,No,No,1 ,1-2 hours ,Too many ads for these brands,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,5,Neither Trust or Distrust ,Yes ,Neither,Male,23 35,Ulster ROI Only,Android
Yes,Yes,No,Yes,Yes,No,1 ,1-2 hours ,I love hearing about special offers and competitions ,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Every few weeks ,In the last month ,Their Instagram page,7,Trust Somewhat ,Yes ,Tagline,Male,23 35,Leinster,I OS
No,Yes,Yes,No,No,No,More than 2 ,2-4 hours ,Help make them more appealing,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their own retail shop,5,Neither Trust or Distrust ,Yes ,Tagline,Male,23 35,Connacht,Android
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,"It is accessible as most people are on technology and its a great way to communicate with people
",Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Every few weeks ,In the last month ,Their website,10,Trust Somewhat ,Yes ,Tagline,Male,23 35,Ulster ROI Only,Web
Yes,No,No,No,No,No,1 ,2-4 hours ,Easy access,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Never ,In the last month ,Their website,1,Neither Trust or Distrust ,No ,Hashtag ,Male,23 35,Munster,Android
Yes,Yes,No,Yes,Yes,No,More than 2 ,2-4 hours ,Irritating. Boring promotions trying to look cool,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last 18 months ,Their website,2,Distrust Somewhat ,Yes ,Tagline,Male,23 35,Dublin,Android
No,Yes,No,No,No,No,1 ,4-6 hours ,Ok,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Daily ,In the last 18 months ,A department store,5,Neither Trust or Distrust ,No ,Hashtag ,Male,23 35,Munster,Web
No,Yes,No,No,No,No,1 ,1-2 hours ,"Usually annoying
",No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last month ,Their own retail shop,7,Trust Somewhat ,Yes ,Tagline,Male,23 35,Munster,Web
Yes,No,No,No,Yes,No,2,4-6 hours ,Open to interaction ,Yes,No,No,Yes,Yes,No,Yes,No,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Every few months ,In the last 6 months ,Their Facebook page,7,Neither Trust or Distrust ,No ,Hashtag ,Male,23 35,Leinster,I OS
