What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Irish County,Device OS,Age
Yes,No,No,No,No,No,1 ,Less than 1 hour ,To much of commercials is no good,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Other,5,Neither Trust or Distrust ,Yes ,Tagline,Male,Leinster,I OS,36 53
Yes,Yes,Yes,No,Yes,No,2,2-4 hours ,I like it. Helps me feel more connected to them and keeps me up to date with what they are doing ,Yes,No,Yes,No,No,No,Yes,No,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few days ,In the last month ,Their website,7,Trust Somewhat ,Yes ,Tagline,Male,Leinster,Web,36 53
Yes,No,No,No,No,No,1 ,1-2 hours ,I dislike over advertising of brands on social media,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last month ,Their website,1,Neither Trust or Distrust ,No ,Neither,Male,Munster,Android,36 53
Yes,Yes,Yes,Yes,No,No,1 ,1-2 hours ,"Very good, excellent exposure, easier to contact them for support if needed ",Yes,Yes,No,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Every few months ,In the last month ,Their website,2,Trust Somewhat ,I don't know ,Neither,Male,Leinster,I OS,36 53
No,Yes,No,Yes,No,No,1 ,2-4 hours ,I think it’s a good way of advertising ,Yes,No,Yes,No,No,No,No,No,Neither Trust or Distrust ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Distrust Somewhat,Every few days ,In the last month ,A department store,5,Neither Trust or Distrust ,Yes ,Neither,Female,Leinster,Web,23 35
No,No,Yes,No,No,No,1 ,Less than 1 hour ,not sure,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the last 6 months ,Their website,7,Trust Somewhat ,Yes ,Hashtag ,Male,Leinster,Android,23 35
No,Yes,No,Yes,No,No,1 ,2-4 hours ,Good,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Distrust Completely ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Completely ,Never ,In the last 6 months ,Their website,7,Neither Trust or Distrust ,Yes ,Tagline,Female,Munster,I OS,23 35
Yes,Yes,Yes,Yes,Yes,No,2,2-4 hours ,It's useful but smaller brands tend not to use it well. I'd still use webpages over social media accounts ,No,,,,,,,,Trust Somewhat ,Distrust Completely ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Distrust Somewhat,Never ,In the last 18 months ,Their website,1,Distrust Completely ,Yes ,Tagline,Male,Leinster,Android,36 53
Yes,Yes,Yes,No,Yes,No,More than 2 ,Less than 1 hour ,Ok. Instagram is full of brands,Yes,No,Yes,Yes,No,No,No,No,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Daily ,In the last 6 months ,Their own retail shop,4,Trust Somewhat ,Yes ,Tagline,Male,Munster,I OS,23 35
No,Yes,No,No,Yes,No,2,2-4 hours ,Some good info out there on brands you might never have looked up but some questionable marketing ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,In the last month ,Their Instagram page,5,Distrust Completely ,Yes ,Tagline,Male,Dublin,I OS,23 35
Yes,Yes,No,No,No,No,1 ,4-6 hours ,Good advertising ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few months ,In the last 6 months ,Their own retail shop,5,Trust Somewhat ,Yes ,Hashtag ,Female,Dublin,I OS,36 53
Yes,No,No,No,No,No,1 ,Less than 1 hour ,No thoughts,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Completely ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Never ,In the last 18 months ,A department store,1,Distrust Completely ,I don't know ,Neither,Male,Connacht,Android,56 65
Yes,Yes,Yes,Yes,No,No,1 ,Less than 1 hour ,No opinion ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,A department store,2,Neither Trust or Distrust ,No ,Tagline,Female,Connacht,I OS,56 65
